ID,variations,Keywords,Volume
2,"pickup lines, tinder pickup lines, best pickup lines, best tinder pick up lines, hookup pickup lines, tinder chat up lines, bad pickup lines, tinder pickup lines for hookups, ai pickup lines, good tinder pick up lines, poop pickup lines, tinder pick up lines to get laid, 18 pickup lines, 2022 best pickup lines, 2022 pickup lines",pickup lines,749364
3,"good pick up lines, dirty pick up lines, hook up lines, funny pick up lines, chat up lines, cute pick up lines, electrician pick up lines, lord of the rings pick up lines, smooth pick up lines, great pick up lines, dirty chat up lines, flirt lines, cringy pick up lines, funny pick up lines for her, pick up lines for dating apps, lotr pick up lines, therapist pick up lines, hot pick up lines, flirty chat up lines, cheesiest pick up lines, halloween pick up lines, funny pick up lines for him, cringe pick up lines, one night stand pick up lines, romantic pick up lines, christian pick up lines, handyman pick up lines, clever pick up lines, smooth pick up lines for her, bible pick up lines, pick up lines to make him blush, disney pick up lines, science pick up lines, grocery store pick up lines, pick up lines for her, pick up lines for hookups, insurance pick up lines, amazing pick up lines, top pick up lines, 100 pick up lines, 100 pick up lines for her, 100 worst pick up lines, 18 pick up lines, 2 line pick up lines, 20 pick up lines, 2022 pick up lines",good pick up lines,579886
1,"cheesy pick up lines, best hookup lines, best one night stand pick up lines, cheesy pick up lines for her, best chat up lines, best hookup pick up lines, cheesy pick up lines for him, best dating app pick up lines, best flirty pick up lines, best cheesy pick up lines, 100 best pick up lines, 100 cheesy pick up lines, 40 best pick up lines",cheesy pick up lines,127975
8,"corny pick up lines, corny pick up lines for her, corny pick up lines for him",corny pick up lines,55527
5,"pick up lines for guys, pick up lines for flirting with guys, best pick up lines for guys, good pick up lines for guys, pick up lines to use on guys",pick up lines for guys,52404
7,"sexy pick up lines, sexy chat up lines",sexy pick up lines,33696
6,"pick up lines for flirting, best flirting lines, online flirting lines, best online pick up lines, online dating pick up lines, good flirting lines, online pick up lines",pick up lines for flirting,25308
10,cringey pick up lines,cringey pick up lines,6354
9,"10 10 pick up lines, 10 best pick up lines, 10 pick up lines",10 10 pick up lines,1234
0,dentist pick up lines,dentist pick up lines,684
4,"101 best pick up lines, 101 cheesy pick up lines, 101 pick up lines",101 best pick up lines,199
